File,CurrentPrice,WinnerPrice,NextFile,NextPrice,RandomForest,XGBoost
1485531268,12.9,12.66,1486115902,12.57,12.66,12.66
1485558201,24.99,24.07,1485907416,24.07,24.07,24.07
1485773975,12.11,12.07,1485802834,13.77,12.07,12.07
1485784577,9.99,9.95,1485791478,11.6,9.95,9.95
1485794801,13.69,13.69,1485801697,12.64,13.69,13.69
1485811459,12.37,12.34,1485812789,12.13,12.34,12.34
1486071029,28.22,28.18,1486073909,27.689999999999998,28.18,28.18
1486098616,14.1,14.07,1486104975,13.09,14.07,14.07
1486099699,13.93,13.889999999999999,1486099698,13.889999999999999,13.89,13.89
